i,Action,Industry,Country,ИНН
Japan Tobacco,stopped new investments and marketing activities in Russia,Consumer Staples,Japan,
Johnson & Johnson,pause patient enrollment in ongoing trials,Health Care,United States,7725216105
KCA Deutag,suspend investments,Energy,United Kingdom,6501145907
KDDI Corp,continue operations with local staff,Communication Services,Japan,
Kimberly-Clark,suspend new investments in Russia,Consumer Staples,United States,7709222373
Knauf,still operating across 14 sites in Russia but suspend new investments,Materials,Germany,5024051564
Kraft Heinz - JBS,stopped new investments and exports/imports from Russia,Consumer Staples,United States,
Kubíček VHS,stop cooperation,Industrials,Czech Republic,
Laboratoire Servier,suspending new investments but still operating in Russia,Health Care,France,
Lenovo,reported to suspend operations in Russia,Information Technology,Hong Kong,7703549291
Loulis Mills,search for alternative suppliers,Consumer Staples,Greece,
Maire Tecnimonet,suspended commercial activities; managing existing backlog,Industrials,Italy,
Manitowoc,"stopped taking new orders, still maintaining office in Russia",Industrials,United States,7720265853
Marel,paused new projects,Consumer Staples,Iceland,7723124152
Mavenir,continue operating in Russia but very limited curtailment of some activities,Information Technology,United States,7701345662
Melamin,making up for shortfall from sanctions,Materials,Slovenia,7706522322
Menarini Group,stop advertisement and new investments; continue operating plant in Russia,Health Care,Italy,
Merck,no further investments/clinical trial enrollment,Health Care,United States,7701620453
Metro,stop all growth investments and reduce advertisements,Consumer Staples,Germany,7704218694
Mocapor,paused exports,Industrials,Portugal,
Mohawk Industries,suspend new investments in Russia,Consumer Discretionary,United States,
Mondelez - Nabisco,scaling back unspecified non-essential activities in Russia,Consumer Staples,United States,
National Oilwell Varco,suspend all new investments in Russia,Energy,United States,7705885997
Nature's Sunshine,suspend shipments into Russia but not sales,Consumer Staples,United States,
Naust Marine,stopped projects in Russia,Industrials,Iceland,7805788764
Nestle,"halted non-essential imports/exports to Russia, stopped all advertising, and suspended all capital investment",Consumer Staples,Switzerland,7705739450
Nippon Steel,searching to replace Russian supplies,Materials,Japan,7710469745
Nor-Maali,stop further investments,Industrials,Finland,6037007204
Novartis,"pause all new capital investments, media advertising and other promotions; pause new clinical trials and enrollment of new patients",Health Care,Switzerland,7705772224
Novo Nordisk,suspend further marketing and clinical investment; pause new clinical trials and active enrollment,Health Care,Denmark,7729427770
NTPC,difficulty in transacting with Russian counterparties due to SWIFT issues etc,Utilities,India,7449000023
Olam Group,ceased imports into Russia,Consumer Staples,Singapore,
OMV,no new Russian investments; doing strategic review of current Russian gas investments,Energy,Austria,7728139307
Palfinger,reduced production,Industrials,Austria,264070057
Pfizer,stopped new investments/clinical trials in Russia,Health Care,United States,7717045865
Polpharma,stop all new investments and limit deliveries to essential drugs only,Health Care,Poland,5031013320
Pottinger,limited deliveries to Russia sales subsidiary,Industrials,Austria,7705919808
Procter & Gamble,scale back unspecified operations in Russia and stop new investments,Consumer Staples,United States,7701032910
Red Bull,suspend new investments,Consumer Staples,Austria,7704532646
Remondis,still operating in Russia; not disclosed publicly,Industrials,Germany,1327013715
RHI Magnesita,selling down existing stocks in Russia,Industrials,Austria,7725672041
Ritter Sport,halt new investments and advertising,Consumer Staples,Germany,7704252536
Roche,pause new site activation and patient enrollment; continue operating,Health Care,Switzerland,7702719945
Rockwool,cancel new investments in Russia,Industrials,Denmark,9702036847
Saipem,halt new investments,Industrials,Italy,2308063783
Sanofi,"halting advertising and promotional spending and new recruitment of patients clinical trials, continue medical supply and treating current patients",Health Care,France,7705018169
Sarens,new projects cancelled,Industrials,Belgium,7703698470
SC Johnson,stopped new investments and scaled back unspecified operations,Consumer Staples,United States,7709960620
Schlumberger,stopped new investment and technology deployment to our Russia operations,Energy,United States,7709542704
SCHOTT,suspend investments in Russia,Materials,Germany,5246032499
SGS,Suspended business development and investment activities,Industrials,Switzerland,1007019482
Siemens Energy AG (Independent),freeze new business in Russia,Industrials,Germany,
Sigma Group,Stop cooperation,Industrials,Czech Republic,7838394684
Signify,suspend only exports to Russia and investments and new business,Consumer Discretionary,Netherlands,7703388189
Snap,halt advertisement,Communication Services,United States,7723049145
Soudal,cancel investments in a brand new factory in Russia; but maintain other activities,Materials,Belgium,7722279315
SRV,outline steps to stop procurement of building materials from Russia,Materials,Finland,274026473
Subway,suspend new investments/advertising,Consumer Staples,United States,2722070924
Sumitomo Mitsui Financial,continue operations with local staff,Financials,Japan,
Technip Energies,continuing existing projects; no new business,Energy,France,7810913731
TMF Group,suspend new contracts; cotinue supporting current customers,Industrials,Netherlands,7704588720
TOM Tailor,no official statement; online sales suspended but advertising continues,Consumer Discretionary,Germany,7726693904
Toshiba Group,stop all new investments in Russia,Information Technology,Japan,
Toshulin,Stopped cooperation,Industrials,Czech Republic,7810545238
Toyota Tsusho,Stopped exports and imports of auto parts to and from Russia,Materials,Japan,7810060890
TZMO,stopped new investments,Consumer Staples,Poland,6320014927
Unilever,stopped inports/exports and stopped all advertising and investments,Consumer Staples,United Kingdom,6320014927
UnionPay,Suspended issuing bank cards to Russian Banks,Financials,China,7703795138
Vimeo,not accept new customers from Russia,Communication Services,United States,
Weatherford International,suspend new investments/deployments in Russia,Energy,United States,5603011386
Welltec,suspend all new investments in Russia,Energy,Denmark,7704643498
Wintershall Dea AG,maintain Russian natural gas projects and critical infrastructure; write-off Nord Stream2 loans,Energy,Germany,8904047896
Xiaomi,reported to suspend operations in Russia,Information Technology,China,7726439295
Yokohama,decision to renew production in Russia despite previous announcements to halt production,Consumer Discretionary,Japan,4802011710
Young Living,suspend new investments in Russia,Consumer Staples,United States,
Yves Rocher,suspend new investments/development,Consumer Staples,France,7710217064
ABB,temporarily pausing all new orders and operational activity,Industrials,Switzerland,7727180430
Activision Blizzard,suspend new sales of and in our games in Russia,Communication Services,United States,
ADEO | Leroy Merlin,"Stopped new investments, imports, and financing in Russia",Consumer Discretionary,France,5029069967
Adobe,suspend all new sales in Russia and Belarus; current services continue,Information Technology,United States,7705881657
AGCO,stop sale of new machines to Russia,Industrials,United States,7702616330
AkzoNobel,suspend new investments in Russia; end Aerospace work,Materials,Netherlands,
Allianz,meaningfully reduce exposure to Russia,Financials,Germany,7702073683
Alphabet,withdraw all operations in Moscow; stop taking new customers; stop ads,Communication Services,United States,7816374395
Amadeus IT Group,suspend partnership with Aeroflot,Information Technology,Spain,7702616330
Amgen,suspend all non-essential business activities; keep delivering some medicines,Health Care,United States,7705750830
AmRest,suspend operations with some brands in Russia,Consumer Discretionary,Spain,7825335145
ASBIS,amends contracts following new sanctions,Information Technology,Cyprus,7717115978
Aspo,reducing operations in Russia,Industrials,Finland,5836140930
Avaya,limit certain services; cease new maintenance and support arrangements,Information Technology,United States,
Bacardi,paused exports to Russia but not domestic operations,Consumer Staples,Bermuda,7706244940
Bank of Cyprus,maintain loan book; observe banking sanctions,Financials,Cyprus,7707083893
Beiersdorf,maintain skin and bodycare products; stop other products,Consumer Staples,Germany,7702226629
Bekaert,scale back business in Russia,Industrials,Belgium,4802011068
Black Red White,"divesting from Russian subsidiary, still has a significant stake in a company operating in Belarus, which also suspended Russian exports",Consumer Discretionary,Poland,5038032145
BNY Mellon,suspend new business activity and investments; continue cooperation with current clients,Financials,United States,
Boehringer Ingelheim,scale back to just supplying medicine,Health Care,Germany,7714103413
Bosch,suspend some shipments and plants but not all,Industrials,Germany,5920027757
Boston Scientific,suspend all new investment and non-essential activity,Health Care,United States,7743329743
Brenntag,suspend exports to Russia; no information about local operations,Materials,Germany,7704564743
Bucher Industries,"not specified business activities in Russia were reduced ""substantially"" ",Industrials,Switzerland,
Bunge,suspend exports but continue certain domestic,Consumer Staples,United States,7743084941
Bureau Veritas,scaled back,Industrials,France,7709670368
Carl Zeiss,,Health Care,Germany,7725558998
Carrier,not pursue new business opportunities but continue fulfilling existing contracts,Industrials,United States,6686123043
Carter's | Oshkosh,stop all shipments of merchandise to Russia,Industrials,United States,
